CD1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90
9999999.0,44450.585999999996,86445.171,83928.52799999999,79107.489,67828.077,95935.644,60732.963,122102.667,51394.094999999994,59095.62899999999,59762.691,66130.101,68889.31199999999,61309.062,80441.613,86505.813,85111.04699999999,84898.8,80077.761,65523.681,40357.251000000004,92691.29699999999,82806.651,69495.732,106881.525,59580.76499999999,94540.878,76742.451,39841.794,73922.598,70344.72,57215.727,82564.083,80380.971,74650.302,99786.411,85626.50399999999,55153.899000000005,67615.83,49089.699,66645.558,84625.911,65190.15,49180.662,82078.947,102757.86899999999,80987.391,79835.193,43328.708999999995,64341.162,92721.61799999999,104364.882,102121.128,95450.508,62703.827999999994,85596.183,64614.05099999999,71982.05399999999,82867.29299999999,100271.54699999999,47998.143,47088.513,72922.005,78743.63699999999,91114.605,78137.21699999999,61976.124,101211.498,57670.541999999994,102303.054,41054.634,65099.187,90477.864,63340.569,43631.919,92084.877,108822.069,44026.092,93570.606,95723.397,71133.066,68252.571,100726.362,74286.45,71527.239,113612.787,81836.37899999999,106153.821,94237.66799999999,58458.888
39629.547,9999999.0,73225.215,28228.851000000002,65857.212,96875.595,82685.367,47482.686,63188.964,35596.854,47785.896,4184.298,54790.047,22922.676,49969.008,37749.645,30836.457,25530.282,36324.558,34111.125,54183.627,35505.891,41357.844,38507.67,39144.411,63856.02599999999,6246.126,51485.058,23620.059,31503.519,22316.256,95268.58200000001,6913.187999999999,36597.447,35839.422,42510.041999999994,48058.784999999996,42631.326,16464.303,33140.852999999996,34596.261,55305.50399999999,38659.275,41327.523,17737.785,33504.705,51060.564,67767.435,31715.766000000003,52212.761999999995,37507.077,39174.731999999996,61309.062,59065.308,52394.688,16130.772,34838.829,33110.532,58762.098,37901.25,48543.921,56851.875,20224.107,59156.271,32777.001000000004,45147.969,64917.261,48725.847,50363.181,46360.808999999994,52879.824,49938.687,53759.133,47422.044,50120.613000000005,7095.114,46118.241,95602.113,25894.134,46027.278,52697.897999999994,59823.333,56912.517,57700.863000000005,39902.436,22376.897999999997,70587.288,35869.743,48028.464,51181.848,47118.833999999995
96451.101,78682.995,9999999.0,80593.218,12340.647,46633.698000000004,32443.469999999998,27167.616,105274.51199999999,49999.32899999999,44662.833,76499.883,35536.212,84140.775,46845.945,64037.952,83200.82400000001,81775.737,75984.42599999999,95329.224,30017.79,59338.197,76287.636,66402.98999999999,53092.071,90508.185,76317.95700000001,78137.21699999999,75226.401,49635.477,65826.891,45026.685,73922.598,97815.54599999999,63977.310000000005,53516.564999999995,91902.95099999999,69222.843,64371.483,63279.927,56821.554,30108.752999999997,99877.374,48786.489,62097.407999999996,89810.802,94904.73,9581.436,87536.727,44632.512,47937.501,84868.47899999999,87961.221,85717.46699999999,79046.847,72406.548,69222.843,72345.906,21588.552,66463.632,92388.087,39023.12699999999,63795.384,21406.625999999997,93995.09999999999,99938.016,13553.487,29047.518,84807.837,35384.606999999996,85899.393,51818.589,34141.445999999996,74074.203,32018.976,85687.14600000001,98846.46,45360.216,52152.119999999995,77166.94499999999,79319.736,24954.183,31715.766000000003,84353.022,57882.789,67524.867,97239.447,97087.842,89325.666,77834.007,43995.771
86384.529,30654.531,77561.11799999999,9999999.0,70223.436,101241.819,87051.591,51848.91,38386.386,53910.738000000005,49089.699,32625.395999999997,56093.85,20466.675,51272.811,28410.777,6033.879,17434.575,13007.708999999999,16797.834,52152.119999999995,49301.946,18799.02,30775.815,31776.408,37961.892,25712.208,25590.924,10096.893,48180.069,19860.254999999997,99604.485,28623.023999999998,25894.134,31715.766000000003,35687.816999999995,23286.528,18526.131,26985.69,25227.072,38962.485,53243.67599999999,21527.91,38022.534,32989.248,10187.856,23347.17,72103.338,5154.57,66008.817,34808.508,14584.400999999998,35414.928,33171.174,26530.875,19769.291999999998,24620.652,31928.012999999995,63098.001,28532.060999999998,20830.527,70678.25099999999,35475.57,62885.75399999999,20921.49,28380.456,69253.164,53092.071,25621.244999999995,47664.612,28137.888,63734.742,55062.936,38447.028,54456.516,38295.423,27288.899999999998,99938.016,38447.028,21285.341999999997,26803.764,57761.505,54850.689,31806.729,33049.89,18617.093999999997,44693.154,35020.755000000005,23225.886,42206.832,48422.637
78379.785,60611.679,11279.412,62885.75399999999,9999999.0,42328.116,28137.888,15766.92,99392.238,31928.012999999995,33262.137,58428.566999999995,37689.003,66069.459,35445.248999999996,58155.678,65493.36,64856.619,70071.83099999999,77257.908,21558.231,41266.880999999994,70405.362,60520.716,47209.797,84595.59,58246.641,72254.943,60429.753,31594.482,59944.617,40721.102999999996,55851.28200000001,79744.23,58064.715,48816.810000000005,86020.677,63310.24799999999,46300.166999999994,57003.48,38750.238,21649.194,81806.058,42904.215,44026.092,71739.486,89022.45599999999,4366.224,69465.411,40175.325,42024.905999999995,78986.205,82048.62599999999,79804.872,73164.57299999999,54335.232,63310.24799999999,54274.59,17161.686,60581.358,86505.813,34596.261,45754.388999999996,15130.179,75923.784,94055.742,6943.509,17646.822,78925.563,29502.333,80017.119,47391.723,25681.887000000002,68161.608,20618.28,67615.83,92933.86499999999,41054.634,34080.804,71284.671,73437.462,18404.847,23256.207,78440.427,49787.082,57640.221000000005,91326.852,79016.526,83443.39199999999,71921.412,32595.075
73073.61,92297.124,46269.846,94571.19900000001,42570.683999999994,9999999.0,22104.009,45542.142,127075.31099999999,47513.007,60945.21,90114.01199999999,65341.755,97754.90400000001,63128.322,85838.75099999999,97178.805,96542.064,97754.90400000001,108943.353,58095.036,72982.647,98088.435,88203.78899999999,74892.87,112278.663,89932.086,99907.695,92115.19799999999,63279.927,89295.345,9065.979000000001,87567.048,111429.675,85747.788,76499.883,113703.75,90993.321,78015.933,88688.925,70435.683,59186.592,113491.503,70556.96699999999,75711.537,103424.931,116675.20799999998,43631.919,101181.177,45026.685,69707.97899999999,106638.957,109731.699,107487.945,100817.325,86020.677,90993.321,85960.035,35233.00199999999,88264.431,114188.88599999998,39447.621,77439.83399999999,55639.035,107609.229,121708.49399999999,34626.582,45299.574,106608.63599999998,57185.405999999995,107669.87099999998,52243.083,63188.964,95844.681,48301.352999999996,99301.275,120616.938,10491.065999999999,65766.249,98967.74399999999,101120.535,63704.421,60793.605,106123.5,77470.155,89355.987,119009.925,110701.97099999999,111126.465,99604.485,60278.147999999994
91569.42,73801.314,27774.036,76075.389,24074.874,42206.832,9999999.0,27046.332,108579.501,45117.648,42449.4,71618.202,46845.945,79259.094,44632.512,67342.941,78682.995,78046.25399999999,79259.094,90447.54299999999,39599.226,54456.516,79592.625,69707.97899999999,56397.060000000005,93782.853,71436.276,81411.885,73619.388,44784.117,70799.535,40599.819,69040.917,92933.86499999999,67251.978,58004.073,95207.93999999999,72497.511,59520.12299999999,70193.11499999999,51939.87299999999,40690.782,94995.69299999998,52061.15700000001,57215.727,84929.121,98179.398,25136.108999999997,82655.046,38265.102,51212.169,88143.147,91235.889,88992.135,82321.515,67524.867,72497.511,67464.22499999999,16706.871,69768.621,95693.07599999999,32686.037999999997,58944.024000000005,37143.225,89113.419,103212.684,16130.772,26803.764,88082.505,38689.596,89174.061,45481.5,44693.154,77348.871,29805.542999999998,80805.465,102121.128,40933.35,47270.439,80471.934,82624.72499999999,45208.611,42297.795,87627.68999999999,58974.344999999994,70860.177,100514.11499999999,92206.161,92630.655,81108.675,41782.337999999996
65705.607,47967.822,25742.529,50241.897,18404.847,49392.90899999999,35233.00199999999,9999999.0,85171.689,19284.156,24650.973,45754.388999999996,29077.839,53425.602,26864.406,57458.295,52849.503,52212.761999999995,61885.161,64614.05099999999,21800.799,28623.023999999998,69707.97899999999,59823.333,46512.414,83898.20700000001,45602.784,71527.239,47785.896,18920.304,44935.722,47785.896,43207.424999999996,67070.052,57367.332,40205.646,76772.772,62612.86499999999,33656.31,44359.623,26106.380999999998,22922.676,69162.201,42206.832,31382.234999999997,59095.62899999999,79774.55099999999,20284.749,56821.554,24560.01,41327.523,69738.3,81351.24299999999,79107.489,72467.18999999999,41691.375,62612.86499999999,41600.412000000004,24256.8,59883.975,77257.908,22498.182,33080.211,18799.02,63279.927,75620.57400000001,17434.575,5973.237,78228.18,20072.502,79289.415,43055.82,26925.048000000003,67464.22499999999,6579.656999999999,54971.973,83716.281,48119.426999999996,21436.947,70587.288,72740.079,27410.183999999997,24529.689,77743.044,51272.811,44996.364,90629.469,66372.669,83170.503,71224.029,24014.232
119767.95,64037.952,110944.539,40751.424,103606.857,134625.24,120435.01199999999,85232.33099999999,9999999.0,87294.159,66736.52100000001,66008.817,84989.763,50090.291999999994,70556.96699999999,44420.265,36809.694,50817.99600000001,32504.112,41752.017,81017.712,82685.367,28653.344999999998,46754.981999999996,53850.096000000005,39235.373999999996,59095.62899999999,40084.362,43480.314,81563.48999999999,48756.16799999999,132987.906,62006.44499999999,46633.698000000004,44814.437999999995,61763.877,23923.268999999997,36779.373,60369.111,55305.50399999999,68646.744,82139.58899999999,44905.401,60369.111,66372.669,34808.508,28835.270999999997,105486.75899999999,37476.755999999994,99392.238,65220.471000000005,34020.162000000004,44602.191,38477.348999999995,39690.189,53152.713,40508.856,60823.92599999999,96481.42199999999,40478.534999999996,24105.195,104061.67199999999,68858.991,91781.667,45420.858,40993.992,102636.585,86475.492,28683.666,76560.525,25318.035,97118.163,83958.849,53395.280999999995,87839.93699999999,71678.844,39872.115,133321.437,71830.44900000001,27774.036,44723.475,86657.41799999999,83746.602,43025.498999999996,56851.875,47513.007,59520.12299999999,59004.666,15736.599,57155.085,67373.26199999999
53850.096000000005,34596.261,44935.722,57427.974,37567.719,47270.439,54395.874,19041.588,95632.434,9999999.0,32625.395999999997,32413.148999999998,39629.547,41539.77,34808.508,53971.38,60035.58,58640.814,58398.24600000001,52728.219,29290.086,10248.498,66221.064,56336.41799999999,43025.498999999996,80411.292,32231.223,68040.32400000001,50241.897,7519.608,47422.044,49787.082,29866.184999999998,55214.541,53880.416999999994,48180.069,73285.857,59125.95,27804.357,40266.288,22619.466,30381.641999999996,57276.369,38719.916999999994,24832.898999999998,55608.714,76287.636,39477.941999999995,53334.638999999996,10521.387,37840.608,66251.38500000001,77864.328,75620.57400000001,68980.275,35354.286,59125.95,38143.818,25985.097,56397.060000000005,73770.99299999999,13947.659999999998,19738.970999999998,30866.778,51394.094999999994,63765.063,36627.768,20193.786,74741.265,31200.308999999997,75802.5,18738.377999999997,38598.633,63977.310000000005,21558.231,41600.412000000004,64735.335,67312.62,17555.859,67100.37299999999,69253.164,34899.471,31988.655000000002,74256.12899999999,47816.217,45057.005999999994,87142.55399999999,54486.83699999999,79683.588,67737.114,31958.333999999995
