VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH1,CD1,0,0,0,0,0.0,0,0.0
VEH2,CD1,0,0,0,0,0.0,0,0.0
VEH3,CD1,56,CD1-C13-C64-C42-C65-C26-CD1,5,8-12-12-12-12,110.99,0,336532.779
VEH4,CD1,60,CD1-C43-C39-C28-C17-C55-CD1,5,12-12-12-12-12,106.44,0,322736.724
VEH5,CD1,12,CD1-C1-CD1,1,12,6596.08785989908,0,19999998.0
VEH6,CD1,106,CD1-C87-C33-C76-C46-C22-C70-C37-C35-C71-CD1,9,10-12-12-12-12-12-12-12-12,176.67,0,535681.107
VEH7,CD1,84,CD1-C29-C67-C72-C90-C12-C41-C69-CD1,7,12-12-12-12-12-12-12,164.69,0,499356.549
VEH8,CD1,0,0,0,0,0.0,0,0.0
VEH9,CD1,86,CD1-C78-C57-C79-C8-C25-C80-C30-C32-CD1,8,12-9-12-12-12-5-12-12,177.22,0,537348.762
VEH10,CD1,0,0,0,0,0.0,0,0.0
VEH11,CD1,96,CD1-C27-C83-C23-C53-C68-C88-C36-C3-CD1,8,12-12-12-12-12-12-12-12,176.72,0,535832.7119999999
VEH12,CD1,60,CD1-C48-C60-C59-C10-C40-CD1,5,12-12-12-12-12,116.86,0,354331.206
VEH13,CD1,0,0,0,0,0.0,0,0.0
VEH14,CD1,72,CD1-C84-C73-C89-C15-C24-C14-CD1,6,12-12-12-12-12-12,138.39000000000001,0,419612.319
VEH15,CD1,83,CD1-C31-C77-C6-C66-C81-C63-C49-CD1,7,11-12-12-12-12-12-12,191.13000000000002,0,579525.273
VEH16,CD1,0,0,0,0,0.0,0,0.0
VEH17,CD1,0,0,0,0,0.0,0,0.0
VEH18,CD1,24,CD1-C82-C7-CD1,2,12-12,69.02000000000001,0,209275.54200000002
VEH19,CD1,36,CD1-C34-C56-C50-CD1,3,12-12-12,69.01,0,209245.221
VEH20,CD1,84,CD1-C54-C86-C52-C18-C45-C85-C75-CD1,7,12-12-12-12-12-12-12,116.13,0,352117.773
VEH21,CD1,24,CD1-C44-C11-CD1,2,12-12,46.800000000000004,0,141902.28
VEH22,CD1,0,0,0,0,0.0,0,0.0
VEH23,CD1,0,0,0,0,0.0,0,0.0
VEH24,CD1,0,0,0,0,0.0,0,0.0
VEH25,CD1,36,CD1-C19-C51-C16-CD1,3,12-12-12,74.85000000000001,0,226952.685
VEH26,CD1,60,CD1-C5-C4-C2-C58-C61-CD1,5,12-12-12-12-12,116.46,0,353118.366
VEH27,CD1,24,CD1-C38-C62-CD1,2,12-12,69.77,0,211549.61699999997
VEH28,CD1,60,CD1-C21-C9-C74-C47-C20-CD1,5,12-12-12-12-12,118.43,0,359091.603
VEH29,CD1,0,0,0,0,0.0,0,0.0
VEH30,CD1,0,0,0,0,0.0,0,0.0
